170422 093621.371|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\Neon\ACM~ICPC\pc2Client\bin\logs directory.
170422 093621.371|INFO|AWT-EventQueue-0|info|
170422 093621.371|INFO|AWT-EventQueue-0|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.8.0_131 build 3850 Windows 10 10.0 (x86) 
170422 093621.371|INFO|AWT-EventQueue-0|info|Login: team16 (aka team16)
170422 093621.371|INFO|AWT-EventQueue-0|startLog|Working directory is D:\Neon\ACM~ICPC\pc2Client\bin
170422 093621.371|INFO|AWT-EventQueue-0|startLog|Process id is 3564@Neon_PC
170422 093621.371|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM16 @ site 0
170422 093621.418|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM16 @ site 0
170422 093621.449|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM16 @ site 0 -> SERVER0 @ site 0
170422 093621.449|INFO|Thread-4|run|send(Serializable)
170422 093621.465|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM16 @ site 0 -> SERVER0 @ site 0
170422 093621.465|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170422 093622.933|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170422 093623.293|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #1903 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093623.293|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #1903 ) recieveObject
170422 093623.293|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 093623.293|INFO|Thread-5|dumpPacket|    To: TEAM16 @ site 1
170422 093623.293|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@221b26
170422 093623.293|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@e5ea52
170422 093623.293|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
170422 093623.293|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@da7056
170422 093623.293|INFO|Thread-5|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@1d8e069
170422 093623.293|INFO|Thread-5|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@14b269f
170422 093623.293|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@25f05e
170422 093623.293|INFO|Thread-5|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@15c680c
170422 093623.293|INFO|Thread-5|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1f71f26
170422 093623.308|INFO|Thread-5|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@10eb499
