170422 093623.480|CONFIG|Thread-5|setFileHandlers|Now logging to D:\Neon\ACM~ICPC\pc2Client\bin\logs directory.
170422 093623.480|INFO|Thread-5|info|
170422 093623.480|INFO|Thread-5|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.8.0_131 build 3850 Windows 10 10.0 (x86) 
170422 093623.480|INFO|Thread-5|info|Login: team16 (aka team16)
170422 093623.480|INFO|Thread-5|startLog|Working directory is D:\Neon\ACM~ICPC\pc2Client\bin
170422 093623.480|INFO|Thread-5|startLog|Process id is 3564@Neon_PC
170422 093623.480|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170422 093623.699|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170422 093625.152|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170422 093625.152|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #1903 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093625.152|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #1903 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093642.574|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI C C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProC.cpp
170422 093642.590|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 093642.590|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 093642.699|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1905 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093642.699|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1905 ) recieveObject
170422 093642.699|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 093642.715|INFO|Thread-8|dumpPacket|    To: TEAM16 @ site 1
170422 093642.715|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 211 QUEUED_FOR_COMPUTER_JUDGEMENT 95 min 5744290ms from TEAM16 @ site 1 id Run--2257401528764365240 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 093642.715|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1905 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093642.715|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1905 ) handlePacket
170422 093642.715|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 093642.715|INFO|Thread-8|dumpPacket|    To: TEAM16 @ site 1
