100000 100000
4 1 100000
4 100000 1
6 1 100000
6 100000 1
8 1 100000
8 100000 1
10 1 100000
10 100000 1
12 1 100000
12 100000 1
14 1 100000
14 100000 1
16 1 100000
16 100000 1
18 1 100000
18 100000 1
20 1 100000
20 100000 1
22 1 100000
22 100000 1
24 1 100000
24 100000 1
26 1 100000
26 100000 1
28 1 100000
28 100000 1
30 1 100000
30 100000 1
32 1 100000
32 100000 1
34 1 100000
34 100000 1
36 1 100000
36 100000 1
38 1 100000
38 100000 1
40 1 100000
40 100000 1
42 1 100000
42 100000 1
44 1 100000
44 100000 1
46 1 100000
46 100000 1
48 1 100000
48 100000 1
50 1 100000
50 100000 1
52 1 100000
52 100000 1
54 1 100000
54 100000 1
56 1 100000
56 100000 1
58 1 100000
58 100000 1
60 1 100000
60 100000 1
62 1 100000
62 100000 1
64 1 100000
64 100000 1
66 1 100000
66 100000 1
68 1 100000
68 100000 1
70 1 100000
70 100000 1
72 1 100000
72 100000 1
74 1 100000
74 100000 1
76 1 100000
76 100000 1
78 1 100000
78 100000 1
80 1 100000
80 100000 1
82 1 100000
82 100000 1
84 1 100000
84 100000 1
86 1 100000
86 100000 1
88 1 100000
88 100000 1
90 1 100000
90 100000 1
92 1 100000
92 100000 1
94 1 100000
94 100000 1
96 1 100000
96 100000 1
98 1 100000
98 100000 1
100 1 100000
100 100000 1
102 1 100000
102 100000 1
104 1 100000
104 100000 1
106 1 100000
106 100000 1
108 1 100000
108 100000 1
110 1 100000
110 100000 1
112 1 100000
112 100000 1
114 1 100000
114 100000 1
116 1 100000
116 100000 1
118 1 100000
118 100000 1
120 1 100000
120 100000 1
122 1 100000
122 100000 1
124 1 100000
124 100000 1
126 1 100000
126 100000 1
128 1 100000
128 100000 1
130 1 100000
130 100000 1
132 1 100000
132 100000 1
134 1 100000
134 100000 1
136 1 100000
136 100000 1
138 1 100000
138 100000 1
140 1 100000
140 100000 1
142 1 100000
142 100000 1
144 1 100000
144 100000 1
146 1 100000
146 100000 1
148 1 100000
148 100000 1
150 1 100000
150 100000 1
152 1 100000
152 100000 1
154 1 100000
154 100000 1
156 1 100000
156 100000 1
158 1 100000
158 100000 1
160 1 100000
160 100000 1
162 1 100000
162 100000 1
164 1 100000
164 100000 1
166 1 100000
166 100000 1
168 1 100000
168 100000 1
170 1 100000
170 100000 1
172 1 100000
172 100000 1
174 1 100000
174 100000 1
176 1 100000
176 100000 1
178 1 100000
178 100000 1
180 1 100000
180 100000 1
182 1 100000
182 100000 1
184 1 100000
184 100000 1
186 1 100000
186 100000 1
188 1 100000
188 100000 1
190 1 100000
190 100000 1
192 1 100000
192 100000 1
194 1 100000
194 100000 1
196 1 100000
196 100000 1
198 1 100000
198 100000 1
200 1 100000
200 100000 1
202 1 100000
202 100000 1
204 1 100000
204 100000 1
206 1 100000
206 100000 1
208 1 100000
208 100000 1
210 1 100000
210 100000 1
212 1 100000
212 100000 1
214 1 100000
214 100000 1
216 1 100000
216 100000 1
218 1 100000
218 100000 1
220 1 100000
220 100000 1
222 1 100000
222 100000 1
224 1 100000
224 100000 1
226 1 100000
226 100000 1
228 1 100000
228 100000 1
230 1 100000
230 100000 1
232 1 100000
232 100000 1
234 1 100000
234 100000 1
236 1 100000
236 100000 1
238 1 100000
238 100000 1
240 1 100000
240 100000 1
242 1 100000
242 100000 1
244 1 100000
244 100000 1
246 1 100000
246 100000 1
248 1 100000
248 100000 1
250 1 100000
250 100000 1
252 1 100000
252 100000 1
254 1 100000
254 100000 1
256 1 100000
256 100000 1
258 1 100000
258 100000 1
260 1 100000
260 100000 1
262 1 100000
262 100000 1
264 1 100000
264 100000 1
266 1 100000
266 100000 1
268 1 100000
268 100000 1
270 1 100000
270 100000 1
272 1 100000
272 100000 1
274 1 100000
274 100000 1
276 1 100000
276 100000 1
278 1 100000
278 100000 1
280 1 100000
280 100000 1
282 1 100000
282 100000 1
284 1 100000
284 100000 1
286 1 100000
286 100000 1
288 1 100000
288 100000 1
290 1 100000
290 100000 1
292 1 100000
292 100000 1
294 1 100000
294 100000 1
296 1 100000
296 100000 1
298 1 100000
298 100000 1
300 1 100000
300 100000 1
302 1 100000
302 100000 1
304 1 100000
304 100000 1
306 1 100000
306 100000 1
308 1 100000
308 100000 1
310 1 100000
310 100000 1
312 1 100000
312 100000 1
314 1 100000
314 100000 1
316 1 100000
316 100000 1
318 1 100000
318 100000 1
320 1 100000
320 100000 1
322 1 100000
322 100000 1
324 1 100000
324 100000 1
326 1 100000
326 100000 1
328 1 100000
328 100000 1
330 1 100000
330 100000 1
332 1 100000
332 100000 1
334 1 100000
334 100000 1
336 1 100000
336 100000 1
338 1 100000
338 100000 1
340 1 100000
340 100000 1
342 1 100000
342 100000 1
344 1 100000
344 100000 1
346 1 100000
346 100000 1
348 1 100000
348 100000 1
350 1 100000
350 100000 1
352 1 100000
352 100000 1
354 1 100000
354 100000 1
356 1 100000
356 100000 1
358 1 100000
358 100000 1
360 1 100000
360 100000 1
362 1 100000
362 100000 1
364 1 100000
364 100000 1
366 1 100000
366 100000 1
368 1 100000
368 100000 1
370 1 100000
370 100000 1
372 1 100000
372 100000 1
374 1 100000
374 100000 1
376 1 100000
376 100000 1
378 1 100000
378 100000 1
380 1 100000
380 100000 1
382 1 100000
382 100000 1
384 1 100000
384 100000 1
386 1 100000
386 100000 1
388 1 100000
388 100000 1
390 1 100000
390 100000 1
392 1 100000
392 100000 1
394 1 100000
394 100000 1
396 1 100000
396 100000 1
398 1 100000
398 100000 1
400 1 100000
400 100000 1
402 1 100000
402 100000 1
404 1 100000
404 100000 1
406 1 100000
406 100000 1
408 1 100000
408 100000 1
410 1 100000
410 100000 1
412 1 100000
412 100000 1
414 1 100000
414 100000 1
416 1 100000
416 100000 1
418 1 100000
418 100000 1
420 1 100000
420 100000 1
422 1 100000
422 100000 1
424 1 100000
424 100000 1
426 1 100000
426 100000 1
428 1 100000
428 100000 1
430 1 100000
430 100000 1
432 1 100000
432 100000 1
434 1 100000
434 100000 1
436 1 100000
436 100000 1
438 1 100000
438 100000 1
440 1 100000
440 100000 1
442 1 100000
442 100000 1
444 1 100000
444 100000 1
446 1 100000
446 100000 1
448 1 100000
448 100000 1
450 1 100000
450 100000 1
452 1 100000
452 100000 1
454 1 100000
454 100000 1
456 1 100000
456 100000 1
458 1 100000
458 100000 1
460 1 100000
460 100000 1
462 1 100000
462 100000 1
464 1 100000
464 100000 1
466 1 100000
466 100000 1
468 1 100000
468 100000 1
470 1 100000
470 100000 1
472 1 100000
472 100000 1
474 1 100000
474 100000 1
476 1 100000
476 100000 1
478 1 100000
478 100000 1
480 1 100000
480 100000 1
482 1 100000
482 100000 1
484 1 100000
484 100000 1
486 1 100000
486 100000 1
488 1 100000
488 100000 1
490 1 100000
490 100000 1
492 1 100000
492 100000 1
494 1 100000
494 100000 1
496 1 100000
496 100000 1
498 1 100000
498 100000 1
500 1 100000
500 100000 1
502 1 100000
502 100000 1
504 1 100000
504 100000 1
506 1 100000
506 100000 1
508 1 100000
508 100000 1
510 1 100000
510 100000 1
512 1 100000
512 100000 1
514 1 100000
514 100000 1
516 1 100000
516 100000 1
518 1 100000
518 100000 1
520 1 100000
520 100000 1
522 1 100000
522 100000 1
524 1 100000
524 100000 1
526 1 100000
526 100000 1
528 1 100000
528 100000 1
530 1 100000
530 100000 1
532 1 100000
532 100000 1
534 1 100000
534 100000 1
536 1 100000
536 100000 1
538 1 100000
538 100000 1
540 1 100000
540 100000 1
542 1 100000
542 100000 1
544 1 100000
544 100000 1
546 1 100000
546 100000 1
548 1 100000
548 100000 1
550 1 100000
550 100000 1
552 1 100000
552 100000 1
554 1 100000
554 100000 1
556 1 100000
556 100000 1
558 1 100000
558 100000 1
560 1 100000
560 100000 1
562 1 100000
562 100000 1
564 1 100000
564 100000 1
566 1 100000
566 100000 1
568 1 100000
568 100000 1
570 1 100000
570 100000 1
572 1 100000
572 100000 1
574 1 100000
574 100000 1
576 1 100000
576 100000 1
578 1 100000
578 100000 1
580 1 100000
580 100000 1
582 1 100000
582 100000 1
584 1 100000
584 100000 1
586 1 100000
586 100000 1
588 1 100000
588 100000 1
590 1 100000
590 100000 1
592 1 100000
592 100000 1
594 1 100000
594 100000 1
596 1 100000
596 100000 1
598 1 100000
598 100000 1
600 1 100000
600 100000 1
602 1 100000
602 100000 1
604 1 100000
604 100000 1
606 1 100000
606 100000 1
608 1 100000
608 100000 1
610 1 100000
610 100000 1
612 1 100000
612 100000 1
614 1 100000
614 100000 1
616 1 100000
616 100000 1
618 1 100000
618 100000 1
620 1 100000
620 100000 1
622 1 100000
622 100000 1
624 1 100000
624 100000 1
626 1 100000
626 100000 1
628 1 100000
628 100000 1
630 1 100000
630 100000 1
632 1 100000
632 100000 1
634 1 100000
634 100000 1
636 1 100000
636 100000 1
638 1 100000
638 100000 1
640 1 100000
640 100000 1
642 1 100000
642 100000 1
644 1 100000
644 100000 1
646 1 100000
646 100000 1
648 1 100000
648 100000 1
650 1 100000
650 100000 1
652 1 100000
652 100000 1
654 1 100000
654 100000 1
656 1 100000
656 100000 1
658 1 100000
658 100000 1
660 1 100000
660 100000 1
662 1 100000
662 100000 1
664 1 100000
664 100000 1
666 1 100000
666 100000 1
668 1 100000
668 100000 1
670 1 100000
670 100000 1
672 1 100000
672 100000 1
674 1 100000
674 100000 1
676 1 100000
676 100000 1
678 1 100000
678 100000 1
680 1 100000
680 100000 1
682 1 100000
682 100000 1
684 1 100000
684 100000 1
686 1 100000
686 100000 1
688 1 100000
688 100000 1
690 1 100000
690 100000 1
692 1 100000
692 100000 1
694 1 100000
694 100000 1
696 1 100000
696 100000 1
698 1 100000
698 100000 1
700 1 100000
700 100000 1
702 1 100000
702 100000 1
704 1 100000
704 100000 1
706 1 100000
706 100000 1
708 1 100000
708 100000 1
710 1 100000
710 100000 1
712 1 100000
712 100000 1
714 1 100000
714 100000 1
716 1 100000
716 100000 1
718 1 100000
718 100000 1
720 1 100000
720 100000 1
722 1 100000
722 100000 1
724 1 100000
724 100000 1
726 1 100000
726 100000 1
728 1 100000
728 100000 1
730 1 100000
730 100000 1
732 1 100000
732 100000 1
734 1 100000
734 100000 1
736 1 100000
736 100000 1
738 1 100000
738 100000 1
740 1 100000
740 100000 1
742 1 100000
742 100000 1
744 1 100000
744 100000 1
746 1 100000
746 100000 1
748 1 100000
748 100000 1
750 1 100000
750 100000 1
752 1 100000
752 100000 1
754 1 100000
754 100000 1
756 1 100000
756 100000 1
758 1 100000
758 100000 1
760 1 100000
760 100000 1
762 1 100000
762 100000 1
764 1 100000
764 100000 1
766 1 100000
766 100000 1
768 1 100000
768 100000 1
770 1 100000
770 100000 1
772 1 100000
772 100000 1
774 1 100000
774 100000 1
776 1 100000
776 100000 1
778 1 100000
778 100000 1
780 1 100000
780 100000 1
782 1 100000
782 100000 1
784 1 100000
784 100000 1
786 1 100000
786 100000 1
788 1 100000
788 100000 1
790 1 100000
790 100000 1
792 1 100000
792 100000 1
794 1 100000
794 100000 1
796 1 100000
796 100000 1
798 1 100000
798 100000 1
800 1 100000
800 100000 1
802 1 100000
802 100000 1
804 1 100000
804 100000 1
806 1 100000
806 100000 1
808 1 100000
808 100000 1
810 1 100000
810 100000 1
812 1 100000
812 100000 1
814 1 100000
814 100000 1
816 1 100000
816 100000 1
818 1 100000
818 100000 1
820 1 100000
820 100000 1
822 1 100000
822 100000 1
824 1 100000
824 100000 1
826 1 100000
826 100000 1
828 1 100000
828 100000 1
830 1 100000
830 100000 1
832 1 100000
832 100000 1
834 1 100000
834 100000 1
836 1 100000
836 100000 1
838 1 100000
838 100000 1
840 1 100000
840 100000 1
842 1 100000
842 100000 1
844 1 100000
844 100000 1
846 1 100000
846 100000 1
848 1 100000
848 100000 1
850 1 100000
850 100000 1
852 1 100000
852 100000 1
854 1 100000
854 100000 1
856 1 100000
856 100000 1
858 1 100000
858 100000 1
860 1 100000
860 100000 1
862 1 100000
862 100000 1
864 1 100000
864 100000 1
866 1 100000
866 100000 1
868 1 100000
868 100000 1
870 1 100000
870 100000 1
872 1 100000
872 100000 1
874 1 100000
874 100000 1
876 1 100000
876 100000 1
878 1 100000
878 100000 1
880 1 100000
880 100000 1
882 1 100000
882 100000 1
884 1 100000
884 100000 1
886 1 100000
886 100000 1
888 1 100000
888 100000 1
890 1 100000
890 100000 1
892 1 100000
892 100000 1
894 1 100000
894 100000 1
896 1 100000
896 100000 1
898 1 100000
898 100000 1
900 1 100000
900 100000 1
902 1 100000
902 100000 1
904 1 100000
904 100000 1
906 1 100000
906 100000 1
908 1 100000
908 100000 1
910 1 100000
910 100000 1
912 1 100000
912 100000 1
914 1 100000
914 100000 1
916 1 100000
916 100000 1
918 1 100000
918 100000 1
920 1 100000
920 100000 1
922 1 100000
922 100000 1
924 1 100000
924 100000 1
926 1 100000
926 100000 1
928 1 100000
928 100000 1
930 1 100000
930 100000 1
932 1 100000
932 100000 1
934 1 100000
934 100000 1
936 1 100000
936 100000 1
938 1 100000
938 100000 1
940 1 100000
940 100000 1
942 1 100000
942 100000 1
944 1 100000
944 100000 1
946 1 100000
946 100000 1
948 1 100000
948 100000 1
950 1 100000
950 100000 1
952 1 100000
952 100000 1
954 1 100000
954 100000 1
956 1 100000
956 100000 1
958 1 100000
958 100000 1
960 1 100000
960 100000 1
962 1 100000
962 100000 1
964 1 100000
964 100000 1
966 1 100000
966 100000 1
968 1 100000
968 100000 1
970 1 100000
970 100000 1
972 1 100000
972 100000 1
974 1 100000
974 100000 1
976 1 100000
976 100000 1
978 1 100000
978 100000 1
980 1 100000
980 100000 1
982 1 100000
982 100000 1
984 1 100000
984 100000 1
986 1 100000
986 100000 1
988 1 100000
988 100000 1
990 1 100000
990 100000 1
992 1 100000
992 100000 1
994 1 100000
994 100000 1
996 1 100000
996 100000 1
998 1 100000
998 100000 1
1000 1 100000
1000 100000 1
1002 1 100000
1002 100000 1
1004 1 100000
1004 100000 1
1006 1 100000
1006 100000 1
1008 1 100000
1008 100000 1
1010 1 100000
1010 100000 1
1012 1 100000
1012 100000 1
1014 1 100000
1014 100000 1
1016 1 100000
1016 100000 1
1018 1 100000
1018 100000 1
1020 1 100000
1020 100000 1
1022 1 100000
1022 100000 1
1024 1 100000
1024 100000 1
1026 1 100000
1026 100000 1
1028 1 100000
1028 100000 1
1030 1 100000
1030 100000 1
1032 1 100000
1032 100000 1
1034 1 100000
1034 100000 1
1036 1 100000
1036 100000 1
1038 1 100000
1038 100000 1
1040 1 100000
1040 100000 1
1042 1 100000
1042 100000 1
1044 1 100000
1044 100000 1
1046 1 100000
1046 100000 1
1048 1 100000
1048 100000 1
1050 1 100000
1050 100000 1
1052 1 100000
1052 100000 1
1054 1 100000
1054 100000 1
1056 1 100000
1056 100000 1
1058 1 100000
1058 100000 1
1060 1 100000
1060 100000 1
1062 1 100000
1062 100000 1
1064 1 100000
1064 100000 1
1066 1 100000
1066 100000 1
1068 1 100000
1068 100000 1
1070 1 100000
1070 100000 1
1072 1 100000
1072 100000 1
1074 1 100000
1074 100000 1
1076 1 100000
1076 100000 1
1078 1 100000
1078 100000 1
1080 1 100000
1080 100000 1
1082 1 100000
1082 100000 1
1084 1 100000
1084 100000 1
1086 1 100000
1086 100000 1
1088 1 100000
1088 100000 1
1090 1 100000
1090 100000 1
1092 1 100000
1092 100000 1
1094 1 100000
1094 100000 1
1096 1 100000
1096 100000 1
1098 1 100000
1098 100000 1
1100 1 100000
1100 100000 1
1102 1 100000
1102 100000 1
1104 1 100000
1104 100000 1
1106 1 100000
1106 100000 1
1108 1 100000
1108 100000 1
1110 1 100000
1110 100000 1
1112 1 100000
1112 100000 1
1114 1 100000
1114 100000 1
1116 1 100000
1116 100000 1
1118 1 100000
1118 100000 1
1120 1 100000
1120 100000 1
1122 1 100000
1122 100000 1
1124 1 100000
1124 100000 1
1126 1 100000
1126 100000 1
1128 1 100000
1128 100000 1
1130 1 100000
1130 100000 1
1132 1 100000
1132 100000 1
1134 1 100000
1134 100000 1
1136 1 100000
1136 100000 1
1138 1 100000
1138 100000 1
1140 1 100000
1140 100000 1
1142 1 100000
1142 100000 1
1144 1 100000
1144 100000 1
1146 1 100000
1146 100000 1
1148 1 100000
1148 100000 1
1150 1 100000
1150 100000 1
