180316 134231.173|CONFIG|Thread-5|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
180316 134231.188|INFO|Thread-5|info|
180316 134231.188|INFO|Thread-5|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
180316 134231.188|INFO|Thread-5|info|Login: team397 (aka team397)
180316 134231.188|INFO|Thread-5|startLog|Working directory is E:\PC2\Others\pc2Client\bin
180316 134231.188|INFO|Thread-5|startLog|Process id is 2288@NguyenManhSon
180316 134231.188|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
180316 134231.188|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
180316 134231.485|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
180316 134231.485|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #8954 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134231.485|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #8954 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134249.975|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for E C/C++ file: E:\__CTDL_GT_D16\KIEMTRA\Luyentap3\E\sol.cpp
180316 134249.975|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM397 @ site 1 -> SERVER0 @ site 1
180316 134249.975|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM397 @ site 1 -> SERVER0 @ site 1
180316 134250.204|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #8956 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134250.204|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #8956 ) recieveObject
180316 134250.204|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--3335807939675924251)
180316 134250.204|INFO|Thread-8|dumpPacket|    To: TEAM397 @ site 1
180316 134250.204|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 871 QUEUED_FOR_COMPUTER_JUDGEMENT 2549 min 152969847ms from TEAM397 @ site 1 id Run--5007424721187710737 problem E--9103853356030828652 lang C/C++-8115657387133289744
180316 134250.204|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #8956 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134250.204|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #8956 ) handlePacket
180316 134250.204|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--3335807939675924251)
180316 134250.204|INFO|Thread-8|dumpPacket|    To: TEAM397 @ site 1
180316 134250.204|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 871 QUEUED_FOR_COMPUTER_JUDGEMENT 2549 min 152969847ms from TEAM397 @ site 1 id Run--5007424721187710737 problem E--9103853356030828652 lang C/C++-8115657387133289744
180316 134251.204|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #8956 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134255.094|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #8963 SERVER0 @ site 1 -> TEAM397 @ site 1
180316 134255.094|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #8963 ) recieveObject
180316 134255.094|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--3335807939675924251)
180316 134255.094|INFO|Thread-9|dumpPacket|    To: TEAM397 @ site 1
180316 134255.094|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180316 134255.094|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 871 JUDGED 2549 min 152969847ms from TEAM397 @ site 1 id Run--5007424721187710737 problem E--9103853356030828652 lang C/C++-8115657387133289744
