180606 081831.715|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\PC2\Others\pc2Client\bin\logs directory.
180606 081831.715|INFO|AWT-EventQueue-0|info|
180606 081831.715|INFO|AWT-EventQueue-0|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_101 build 4653 Windows 10 10.0 (amd64) 
180606 081831.715|INFO|AWT-EventQueue-0|info|Login: team70 (aka team70)
180606 081831.715|INFO|AWT-EventQueue-0|startLog|Working directory is E:\PC2\Others\pc2Client\bin
180606 081831.715|INFO|AWT-EventQueue-0|startLog|Process id is 2832@NguyenManhSon
180606 081831.715|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM70 @ site 0
180606 081831.715|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM70 @ site 0
180606 081831.715|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM70 @ site 0 -> SERVER0 @ site 0
180606 081831.715|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM70 @ site 0 -> SERVER0 @ site 0
180606 081831.715|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
180606 081831.715|INFO|Thread-6|run|send(Serializable)
180606 081831.835|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180606 081831.835|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_FAILED] #303 SERVER0 @ site 1 -> TEAM70 @ site 0
180606 081831.835|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #303 ) recieveObject
180606 081831.835|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default-3389190138843485101)
180606 081831.835|INFO|Thread-7|dumpPacket|    To: TEAM70 @ site 0
180606 081831.835|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Account inactive
180606 081831.835|INFO|Thread-7|info|handlePacket start Packet[LOGIN_FAILED] #303 SERVER0 @ site 1 -> TEAM70 @ site 0
180606 081831.835|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #303 ) handlePacket
180606 081831.835|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default-3389190138843485101)
180606 081831.835|INFO|Thread-7|dumpPacket|    To: TEAM70 @ site 0
180606 081831.835|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Account inactive
180606 081832.865|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #303 SERVER0 @ site 1 -> TEAM70 @ site 0
