190115 100938.343|CONFIG|main|setFileHandlers|Now logging to /home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin/logs directory.
190115 100938.349|INFO|main|info|
190115 100938.355|INFO|main|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 10.0.2 build 4653 Linux 4.15.0-43-generic (amd64) 
190115 100938.355|INFO|main|startLog|Working directory is /home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin
190115 100938.404|INFO|main|startLog|Process id is 16775@AkiLinux
190115 100938.405|INFO|main|start|Starting ConnectionManager...
190115 100938.469|INFO|main|start|Started ConnectionManager
190115 100938.470|INFO|main|setClientServerAndPort|INIFile File location: file:/home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin/pc2v9.ini
190115 100938.471|INFO|main|setClientServerAndPort|setClientServerAndPort 203.162.88.119 parsed as 203.162.88.119 port 50002
190115 100938.471|INFO|main|info|Contacting server at 203.162.88.119:50002
190115 100938.472|INFO|main|connectToMyServer|Connecting to 203.162.88.119:50002
